kepid,kepoi_name,kepler_name,ra,dec
9758089,K01871.01,Kepler-1996 c,285.25366,46.582191
10619192,K00203.01,Kepler-17 b,298.39526,47.81501
9883311,K01872.01,,288.31332,46.771431
4939346,K01873.01,Kepler-328 c,295.8093,40.008511
4242147,K01934.01,,284.96967,39.360291
5396122,K01935.01,,299.6517,40.545681
10190777,K01937.01,Kepler-1019 b,283.71753,47.204449
9651234,K01938.01,Kepler-1020 b,292.67255,46.377419
7045496,K01939.01,Kepler-1021 b,295.2049,42.559681
8750043,K02017.01,Kepler-1055 b,290.48676,44.932621
9973109,K02018.01,Kepler-1056 b,299.526,46.899261
6226290,K02019.01,Kepler-1057 b,297.45215,41.558128
9595827,K00217.01,Kepler-71 b,294.86551,46.285851
9349482,K02020.01,Kepler-1058 b,294.59579,45.875031
4349442,K01803.01,,286.63553,39.488621
4644952,K01805.01,Kepler-319 c,288.81195,39.77066
2987027,K00197.01,Kepler-489 b,290.83313,38.184349
4644952,K01805.02,Kepler-319 d,288.81195,39.77066
4644952,K01805.03,Kepler-319 b,288.81195,39.77066
8978528,K01874.01,Kepler-329 c,299.26804,45.227428
8978528,K01874.02,Kepler-329 b,299.26804,45.227428
9967771,K01875.01,Kepler-990 b,297.9382,46.881401
11622600,K01876.01,Kepler-991 b,297.09067,49.626572
10454632,K01877.01,Kepler-992 b,284.4303,47.641781
10005788,K01940.01,Kepler-1022 b,289.35202,46.973728
10005788,K01940.02,,289.35202,46.973728
10656508,K00211.01,,287.97031,47.972099
5213902,K01941.01,,298.21765,40.341019
2832589,K01942.01,Kepler-1978 b,286.00674,38.009541
2438513,K01944.01,Kepler-1777 b,290.32867,37.72311
6356207,K02021.01,Kepler-1059 b,289.22021,41.706478
8564674,K02022.01,Kepler-349 b,293.67648,44.615582
8564674,K02022.02,Kepler-349 c,293.67648,44.615582
8578780,K02023.01,Kepler-1784 b,297.95416,44.66748
4544907,K02024.01,Kepler-1060 b,286.02518,39.630932
7761918,K01808.01,Kepler-1769 b,294.74332,43.461208
8240797,K01809.01,Kepler-321 c,294.45386,44.145973
8240797,K01809.02,Kepler-321 b,294.45386,44.145973
8164262,K01810.01,,291.24683,44.00042
6279974,K01812.01,,290.12653,41.601082
9455325,K01813.01,Kepler-958 b,287.25668,46.066769
3098810,K01878.01,Kepler-1773 b,286.22324,38.258171
8367644,K01879.01,Kepler-993 b,292.61411,44.394661
10332883,K01880.01,Kepler-994 b,289.07224,47.40707
9071386,K00023.01,,283.16632,45.403061
9305831,K00204.01,Kepler-44 b,300.10236,45.762138
2438513,K01944.02,,290.32867,37.72311
11656918,K01945.01,Kepler-1023 b,289.02975,49.769711
11656918,K01945.02,,289.02975,49.769711
10844890,K01946.01,,283.34427,48.223911
9536692,K01948.01,,295.849,46.18129
4636578,K02025.01,Kepler-350 c,285.41962,39.706108
4636578,K02025.02,Kepler-350 d,285.41962,39.706108
4636578,K02025.03,Kepler-350 b,285.41962,39.706108
11923284,K02026.01,Kepler-1061 b,296.23001,50.27523
9838975,K00218.01,,295.03354,46.600151
5621125,K01814.01,Kepler-959 b,292.17117,40.811378
9872283,K01815.01,Kepler-960 b,281.45718,46.746471
10666242,K00198.01,,292.09824,47.940819
8624520,K01816.01,,291.68329,44.75164
7870032,K01818.01,Kepler-961 b,282.03549,43.631271
9597058,K01819.01,Kepler-962 b,295.31314,46.237492
4035640,K01881.01,Kepler-995 b,284.61572,39.131039
6205228,K01882.01,Kepler-996 b,291.91281,41.533611
11758544,K01883.01,Kepler-997 b,289.23337,49.938931
4851530,K01884.01,,295.9024,39.918362
4851530,K01884.02,,295.9024,39.918362
3118797,K01950.01,Kepler-1024 b,291.95099,38.251701
7747425,K01952.01,Kepler-341 c,289.86157,43.472771
6300348,K00212.01,,296.1398,41.60318
7747425,K01952.02,Kepler-341 d,289.86157,43.472771
7747425,K01952.03,Kepler-341 b,289.86157,43.472771
7102316,K02028.01,Kepler-351 c,286.4527,42.657879
7102316,K02028.02,Kepler-351 b,286.4527,42.657879
9489524,K02029.01,Kepler-352 c,299.89651,46.051971
9489524,K02029.02,Kepler-352 b,299.89651,46.051971
5940165,K02031.01,Kepler-1062 b,283.89941,41.221611
8277797,K01820.01,Kepler-322 c,281.34882,44.295238
8277797,K01820.02,Kepler-322 b,281.34882,44.295238
5124667,K01822.01,Kepler-1672 b,297.94016,40.278629
2989404,K01824.01,Kepler-323 c,291.38223,38.127468
2989404,K01824.02,Kepler-323 b,291.38223,38.127468
11413812,K01885.01,Kepler-998 b,296.75415,49.20874
9549648,K01886.01,Kepler-999 b,299.66046,46.198421
10063802,K01888.01,Kepler-1000 b,286.68552,47.098221
11074178,K01889.01,Kepler-1001 b,286.27386,48.61871
11074178,K01889.02,Kepler-1001 c,286.27386,48.61871
11030475,K02248.04,,292.23993,48.51157
5942808,K02250.01,Kepler-1814 b,285.21667,41.282429
6206214,K02252.01,Kepler-1158 b,292.23395,41.575211
8959839,K02253.01,Kepler-1159 b,294.26633,45.204311
7672097,K02255.01,Kepler-1160 b,287.87939,43.364071
6142862,K02336.01,,296.97107,41.46701
5599774,K02337.01,Kepler-1195 b,284.3511,40.852982
8099138,K02338.01,Kepler-1196 b,292.36957,43.910809
7033233,K02339.01,Kepler-1197 b,291.66928,42.59071
7033233,K02339.02,,291.66928,42.59071
6383785,K00239.02,Kepler-501 c,297.20154,41.730209
9411412,K02101.01,Kepler-1096 b,294.70938,45.969501
7008211,K02102.01,Kepler-1097 b,281.59415,42.596409
7620413,K02103.01,Kepler-1098 b,295.50269,43.232792
4545187,K00223.01,Kepler-121 b,286.16205,39.678001
10854546,K02104.01,Kepler-1099 b,288.74994,48.277168
11774991,K02173.01,Kepler-367 b,297.29242,49.981628
11774991,K02173.02,Kepler-367 c,297.29242,49.981628
8261920,K02174.01,,300.24222,44.141399
8261920,K02174.02,Kepler-1802 c,300.24222,44.141399
8261920,K02174.03,Kepler-1802 b,300.24222,44.141399
9112931,K02256.01,Kepler-1161 b,299.07709,45.440639
9071593,K02257.01,Kepler-1162 b,283.29214,45.434109
8126558,K02259.01,Kepler-1815 b,300.1705,43.98497
11811193,K02260.01,Kepler-1163 b,290.23584,50.03009
3734418,K02261.01,Kepler-1164 b,287.52963,38.894508
8681734,K02340.01,Kepler-1198 b,288.83401,44.838249
10232693,K02341.01,,299.84909,47.20256
10212441,K02342.01,Kepler-1199 b,293.72586,47.24704
6119141,K02343.01,,290.37512,41.43375
8247771,K02344.01,Kepler-1200 b,296.60342,44.129261
8165946,K02105.01,Kepler-1100 b,291.87134,44.087379
12017109,K02106.01,Kepler-1679 b,293.90057,50.427052
9225395,K02107.01,Kepler-1101 b,294.56937,45.671261
10709622,K02108.01,Kepler-1102 b,281.32257,48.066502
11499228,K02109.01,Kepler-1103 b,287.38208,49.452389
9022166,K02175.01,Kepler-368 b,291.88004,45.387932
10965588,K02177.01,Kepler-1132 b,286.36746,48.423931
10670119,K02179.01,Kepler-369 c,293.67422,47.908459
10670119,K02179.02,Kepler-369 b,293.67422,47.908459
4043443,K00231.01,,287.40244,39.190731
8491277,K00234.01,Kepler-498 b,290.35815,44.518749
3734418,K02261.02,,287.52963,38.894508
8613535,K02263.01,Kepler-1165 c,286.97128,44.708302
12256520,K02264.01,Kepler-1166 b,290.34851,50.902851
3337432,K02265.01,,290.13821,38.491184
5629538,K02345.01,Kepler-1201 b,294.61481,40.833172
8561231,K02346.01,Kepler-1202 b,292.29062,44.653252
8235924,K02347.01,Kepler-1203 b,292.77338,44.178131
6941084,K02348.01,Kepler-1204 b,289.4415,42.498131
6200235,K02350.01,Kepler-1205 b,290.27969,41.515049
11460462,K02110.01,Kepler-1104 b,294.46854,49.33102
8612275,K02111.01,Kepler-360 b,286.28473,44.781551
8612275,K02111.02,Kepler-360 c,286.28473,44.781551
7207061,K02113.01,Kepler-417 c,293.82431,42.779701
4545187,K00223.02,Kepler-121 c,286.16205,39.678001
7286911,K02180.01,Kepler-1133 b,293.32242,42.86747
8591173,K02181.01,Kepler-1804 b,301.34286,44.672211
6962109,K02182.01,Kepler-1134 b,295.56799,42.478298
5706595,K02183.01,Kepler-370 c,292.17114,40.916309
5706595,K02183.02,Kepler-370 b,292.17114,40.916309
10489345,K02266.01,Kepler-1167 b,298.30273,47.694031
11774303,K02269.01,,297.01965,49.997379
10329469,K02271.01,Kepler-1168 b,287.2977,47.455441
9654875,K02272.01,,294.15366,46.309681
9717943,K02273.01,Kepler-1169 b,294.91156,46.491459
8026752,K00240.01,Kepler-502 b,291.08014,43.860199
1872821,K02351.01,Kepler-1828 b,292.42758,37.320808
8013439,K02352.01,Kepler-381 c,285.1828,43.831078
8013439,K02352.02,Kepler-381 b,285.1828,43.831078
8013439,K02352.03,Kepler-381 d,285.1828,43.831078
7207061,K02113.02,Kepler-417 b,293.82431,42.779701
6921944,K02114.01,Kepler-1105 b,281.11176,42.45491
9532052,K02115.01,Kepler-67 b,294.15332,46.166439
8164012,K02116.01,Kepler-1106 b,291.1452,44.062538
4140813,K02117.01,Kepler-1795 b,286.47934,39.269958
8611781,K02185.01,Kepler-1135 b,286.00296,44.756592
3097926,K02186.01,,285.90848,38.212719
10518424,K02188.02,,283.75385,47.796951
5730445,K02189.01,,298.07474,40.94899
5601258,K02191.01,Kepler-1805 b,285.08655,40.898998
7960980,K02274.01,Kepler-1170 b,292.16858,43.779671
8107225,K00235.01,Kepler-499 b,295.10995,43.915211
3458028,K02276.01,Kepler-1171 b,294.95892,38.591572
3342794,K02278.01,Kepler-376 c,291.60718,38.410389
3342794,K02278.02,Kepler-376 b,291.60718,38.410389
5716932,K02358.01,Kepler-1830 b,295.1391,40.979061
11288051,K00241.01,Kepler-124 c,286.75278,49.064911
7515670,K02360.01,,287.80408,43.168961
11566256,K02361.01,Kepler-1831 b,295.30255,49.589119
8495415,K02362.02,Kepler-1208 b,291.88126,44.555729
4055304,K02119.01,Kepler-1107 b,291.04993,39.14167
4857213,K02120.01,Kepler-1680 b,297.07465,39.933849
9415108,K02121.01,Kepler-1108 b,296.04233,45.985142
4262581,K02122.01,Kepler-1109 b,291.64624,39.396629
8591693,K02123.01,Kepler-1796 b,301.54297,44.60561
4833421,K00232.01,Kepler-122 c,291.11188,39.949108
8282651,K02193.01,Kepler-1136 b,284.10779,44.245811
3548044,K02194.01,Kepler-371 b,292.32645,38.657581
