hostname,host_ra,host_dec,sy_dist
Kepler-1664,286.8527157,49.2616668,626.691
K2-97,127.762837,10.8475571,878.43
Kepler-316,290.825835,44.1838993,384.938
Kepler-374,294.1378921,42.3704075,1265.61
Kepler-1205,290.2796734,41.5150499,698.485
Kepler-624,295.1933631,39.5396946,748.188
Kepler-360,286.2847077,44.7815817,876.044
Kepler-1464,287.2356828,38.7540824,1151.73
Kepler-354,285.7515347,41.3356739,554.064
Kepler-749,299.8973341,43.9040667,721.027
Kepler-559,296.6368878,43.8027948,776.708
Kepler-123,296.9985853,42.7819633,1021.66
HD 39194,86.129071,-70.1382377,26.4131
Kepler-1809,290.2651662,40.5484937,409.602
Gliese 12,3.9579137,13.5576175,12.21
Kepler-774,291.0318604,38.211894,917.804
Kepler-586,293.0571982,45.5511266,693.766
CoRoT-5,101.2772396,0.8152163,882.472
Kepler-1199,293.7258092,47.2469219,563.493
Kepler-442,285.3666029,39.2800704,365.965
Kepler-904,288.8229001,40.38901,978.125
NGTS-1,82.7142134,-36.6309812,218.121
K2-37,243.4509662,-24.7870527,179.943
K2-108,123.3818484,16.419516,477.295
Kepler-704,283.3163671,41.8370942,1228.83
Kepler-220,291.5060432,46.8956262,171.109
Kepler-174,287.4389454,43.8320052,384.757
Kepler-1127,293.2173563,42.7205846,842.459
Kepler-960,281.4572217,46.7465538,284.916
11 UMi,229.2745954,71.8239428,125.321
Kepler-1077,291.0336333,42.2678448,1101.42
HD 150706,247.8255687,79.7894032,28.2697
Kepler-765,283.1846044,47.1557114,1076.28
Kepler-1430,289.6975391,43.3719581,875.523
91 Aqr,348.9745031,-9.0878076,44.0304
HD 190007,300.6956339,3.3266992,12.7141
Kepler-361,296.8034146,46.7411011,930.32
Kepler-913,297.5830564,41.9523531,991.618
HD 162020,267.6599252,-40.3184646,30.8248
Kepler-220,291.5060432,46.8956262,171.109
Kepler-731,296.3931945,45.568533,1257.16
HD 73344,129.6894456,23.6852651,35.26
iot Dra,231.2323227,58.9661403,31.32832
HD 189733,300.1821223,22.7097759,19.7638
Kepler-1584,287.7626791,43.2743929,1416.31
HD 142022 A,242.5481731,-84.2317494,34.2802
KELT-3,148.6431193,40.3879446,210.252
Kepler-843,296.3219786,48.9714373,1165.66
Kepler-1434,295.5384415,51.2030002,775.529
47 UMa,164.8647611,40.4304931,13.7967
TOI-1338 A,92.1330955,-59.5409853,399.017
GJ 27.1,9.9980016,-44.2541679,23.6062
HAT-P-66,150.5726262,53.9508237,935.456
Kepler-910,296.0472937,42.7429414,400.289
Kepler-1674,294.8160447,45.3060844,1012.48
K2-73,335.025662,-9.0560881,269.183
K2-37,243.4509662,-24.7870527,179.943
Kepler-1469,293.8213286,39.3913385,1159.3
Kepler-1953,287.9680995,46.4705959,605.631
Kepler-1769,294.7433755,43.4611633,438.412
GJ 3021,4.0634323,-79.8514218,17.5559
HIP 63242,194.3824825,-65.6463263,156.456
TOI-2445,43.3161555,0.0523366,48.582
HD 208527,329.0999413,21.239922,312.202
HD 28254 B,66.2087154,-50.6230572,55.2151
HD 163607,268.4181383,56.3924701,67.7855
Kepler-1997,297.4808253,46.5891373,1502.34
Kepler-1645,297.4795142,48.418582,1202.47
Kepler-1338,284.0422701,41.6990348,753.26
HD 4308,11.1652594,-65.6527159,22.0158
Kepler-1358,286.1705469,43.0089,546.998
Kepler-9,285.5739904,38.4008192,628.257
K2-238,347.7043164,-7.8575592,537.963
TOI-969,115.1366858,2.0985879,77.2554
Kepler-1197,291.6693437,42.5907441,486.94
Kepler-239,294.2020505,40.6633313,648.109
Kepler-224,290.9342679,47.3575414,782.088
HD 212301,336.8803957,-77.7183219,54.2304
Kepler-398,291.4688524,40.3437001,177.355
Kepler-301,283.982904,49.2329512,719.166
Kepler-1581,287.3713199,39.6036225,493.175
WASP-78,63.7562662,-22.1163901,754.258
WASP-62,87.1398205,-63.9883286,175.631
WASP-172,199.433742,-47.2375748,538.11
Kepler-936,293.5777958,46.7362953,823.399
Kepler-1995,284.342725,46.3165907,595.331
Kepler-484,284.3942844,46.2491109,382.136
WASP-54,205.4542456,-0.1281712,251.303
Kepler-268,291.9761559,38.0550327,851.87
Kepler-105,287.8872376,46.2761224,459.223
XO-2 S,117.0309753,50.2169068,151.398
LHS 1140,11.248632,-15.2741085,14.9861
Kepler-1617,287.9371747,46.4184781,898.31
Kepler-1886,296.2645118,39.4059745,1059.51
Kepler-1223,285.2956462,44.5527542,459.957
Kepler-190,288.5839761,44.7337701,433.387
Kepler-1271,286.3442954,37.4119347,831.991
Kepler-311,282.0612731,47.0854984,778.654
Kepler-607,291.0571451,44.632306,519.122
HD 72659,128.5128072,-1.5686323,51.8949
HD 76700,133.4782248,-66.8004747,60.8831
K2-270,131.2665588,13.5497322,280.518
Kepler-251,296.5662171,44.1058077,924.625
NGTS-3 A,94.4447595,-35.706364,743.972
Qatar-1,303.3818697,65.1623313,185.615
Kepler-1218,291.5788505,44.5316825,840.503
Kepler-224,290.9342679,47.3575414,782.088
HD 219828,349.6947029,18.6457524,73.114
Kepler-1917,294.1038932,45.0013533,909.037
Kepler-602,296.0318985,42.1418634,1159.31
TOI-4994,283.1325335,-78.4344302,329.304
Kepler-1052,295.34273,46.6022134,943.444
Kepler-283,293.6137413,47.838938,468.094
Kepler-1533,295.9755645,44.7133739,966.801
Kepler-1138,285.8993164,48.307285,872.328
HD 75898,133.4611999,33.0566885,78.0505
Kepler-150,288.2341025,40.520897,891.092
HD 33283,77.0044889,-26.7976689,89.8623
HD 24085,56.2563447,-70.0245193,54.9004
Kepler-863,297.6644677,43.2489903,1499.66
Kepler-506,284.6351885,40.7198296,228.439
KOI-13,286.9713876,46.8682463,519.096
Kepler-1681,296.6972773,46.3716969,758.3
Kepler-751,294.8438103,44.0776872,760.43
Kepler-167,292.6585253,38.3455558,341.908
K2-195,199.8315191,-8.5095364,315.014
Kepler-496,291.6408978,41.2411044,605.274
GJ 9066,30.0588307,13.0443172,4.471
Kepler-1217,289.1866841,50.9375614,1347.71
Kepler-665,297.0255947,48.4785669,612.838
Kepler-376,291.6071451,38.4103192,923.067
Kepler-1417,290.9498966,40.605197,991.845
WASP-34,165.3993679,-23.8609457,132.096
Kepler-1185,287.2411783,39.3326977,459.273
HD 97658,168.6376584,25.7105962,21.5618
Kepler-1402,291.8478341,48.9681664,1493.64
Kepler-275,292.4797004,38.5149018,2034.25
Kepler-732,283.7317274,45.9585288,174.826
Kepler-878,285.2962562,46.6034497,791.625
Kepler-1350,288.250611,46.6794847,340.691
NGTS-33,107.8333348,-35.8505185,437.855
K2-45,169.6327547,-1.7740582,495.317
Kepler-1754,295.4570818,50.0771838,718.945
HD 55696,108.0622029,-38.174639,77.9693
Kepler-601,282.0046852,42.1764657,414.825
Kepler-1533,295.9755645,44.7133739,966.801
Kepler-382,299.1362435,45.8699582,935.446
Kepler-619,290.8490899,48.4159782,900.678
eps Eri,53.2284306,-9.4581715,3.2026
Kepler-6,296.8372475,48.2399695,587.039
Kepler-594,288.9217259,49.7620237,769.2
HD 10697,26.2324076,20.0826974,33.1205
Kepler-1374,291.3499783,45.1722521,1078.46
HD 131496,223.3461495,18.2352618,131.849
KOI-1783,289.3414629,46.988155,865.73
Kepler-232,295.8161668,51.1217249,1349.13
Kepler-373,289.3879904,50.5970115,1090.45
Kepler-377,295.4220717,38.7356737,823.804
Kepler-714,282.6994685,43.2727437,2083.37
HAT-P-20,111.9164295,24.3361185,71.0374
Kepler-1162,283.2920273,45.4339813,940.211
Kepler-213,290.8241931,44.6472832,634.939
Kepler-343,291.960662,42.4329567,927.193
HD 240237,348.9259334,58.0432233,933.377
NGTS-4,89.5988945,-30.8117992,280.555
HD 190007,300.6956339,3.3266992,12.7141
LP 791-18,165.6904843,-16.4064445,26.4927
Kepler-1996,285.2537555,46.5822183,440.561
Kepler-225,292.1939846,47.4570808,561.101
HD 24040,57.5962104,17.4752873,46.6224
HD 45184,96.1820205,-28.7806402,21.9532
Kepler-227,291.9342748,48.141676,1083.06
Kepler-1180,295.8874773,43.1559952,1596.8
Kepler-919,298.1147862,48.4943834,1119.87
HD 126525,216.8852514,-51.9329118,37.6506
Kepler-333,292.2861201,40.9135429,324.413
Kepler-667,295.5549918,49.0172956,2302.45
81 Cet,39.4243555,-3.3963607,101.26
Kepler-15,296.2005506,49.1400304,739.412
bet Cnc,124.1286379,9.1853306,89.0472
HD 31253,73.6822877,12.3520103,58.1438
Kepler-1244,282.3012505,46.5161814,1075.81
Kepler-1093,284.9780251,41.4202077,1072.88
Kepler-1643,300.4310076,44.7510129,341.774
Kepler-475,287.051694,40.2114232,280.069
HAT-P-9,110.1685157,37.1405946,455.203
Kepler-1386,280.8233646,42.6360518,835.882
HD 102117,176.2097267,-58.7040134,39.5792
Kepler-758,293.0846115,41.1354049,1502.32
6 Lyn,97.6960311,58.1611753,54.6599
Kepler-605,287.2954015,43.2798677,556.58
Kepler-711,297.4600468,42.8398172,624.575
HD 204941,323.0966714,-20.957957,28.7165
Kepler-822,292.2760929,39.5501136,860.391
K2-191,201.6391407,-12.8066737,287.188
K2-369,329.7262534,-10.8750666,185.55
HD 66428,120.8691654,-1.1636019,53.2817
Kepler-744,296.4960493,47.1827848,449.964
HD 129445,221.5104196,-68.7629901,67.4386
Kepler-454,287.4786474,38.2290751,230.869
Kepler-325,289.8354219,49.825607,823.242
Kepler-1115,294.9917723,40.1443964,983.245
HD 1605,5.1317548,30.9750611,88.8047
Kepler-597,293.4700919,39.2528182,663.418
Kepler-27,292.2367608,41.085871,1044.36
Kepler-1605,287.1349405,47.4886251,546.23
Kepler-194,291.971429,47.8640498,1097.97
Kepler-1588,288.2327232,48.0021967,924.141
K2-385,12.6140752,5.8712567,420.819
Kepler-1613,289.8750066,43.4209318,1508.33
Kepler-425,290.3579781,40.5676965,646.647
Kepler-186,298.652736,43.9549884,177.594
Kepler-617,283.7407247,47.5161237,173.354
HATS-31,191.7028214,-24.4273897,773.974
Kepler-1677,298.493273,47.0130566,735.369
HD 73344,129.6894456,23.6852651,35.26
Kepler-123,296.9985853,42.7819633,1021.66
Kepler-76,294.1921185,39.6189727,822.96
Kepler-1224,286.6257591,37.537313,559.598
Kepler-1683,298.4501035,44.2840193,733.143
Kepler-955,288.4714969,40.2698157,550.383
Kepler-447,285.2685283,48.5598835,268.041
HD 126614,216.7005171,-5.1784093,73.0961
Kepler-1284,291.2789549,47.6875766,882.324
Kepler-380,282.3947017,48.7591334,813.713
Kepler-83,282.2325197,43.6655662,400.409
Kepler-1915,301.2786852,44.2505116,1514.66
Kepler-1956,294.6208506,49.894219,360.468
Kepler-160,287.773573,42.8692755,937.013
Kepler-1718,292.2349191,42.9094618,375.522
HD 25171,58.9574779,-65.1863239,55.6146
K2-331,132.7376431,13.170269,211.43
Kepler-1136,284.1078441,44.2458047,491.406
Kepler-1234,287.5220359,51.3759464,916.749
Kepler-975,290.54851,38.4952415,426.088
HAT-P-14,260.1161719,38.2421682,222.663
Kepler-646,290.4714596,44.3870422,451.794
Kepler-1526,285.1197266,38.8664618,555.574
Kepler-1242,284.6062174,41.196344,687.615
Kepler-1511,288.4211892,43.179773,1475.6
Kepler-734,297.0456122,46.0273893,1157.21
Kepler-1600,291.3993802,38.7877563,1030.81
Kepler-363,283.1920779,41.3054172,762.596
TOI-3331 A,271.3241672,-34.107171,217.193
Kepler-162,297.2789115,43.7239693,855.641
WASP-160 B,87.679561,-27.6233218,288.326
Kepler-59,287.0394932,46.6401677,1163.22
Kepler-1472,294.8526163,49.0574468,1479.14
HD 192310,303.8284712,-27.0337556,8.79687
HD 204941,323.0966714,-20.957957,28.7165
Kepler-1270,286.7156676,48.6452552,1095.05
Kepler-6,296.8372475,48.2399695,587.039
HIP 105854,321.5962275,-37.8294782,78.6381
Kepler-393,290.995205,45.192188,881.404
Kepler-1100,291.8713535,44.0873907,693.618
Kepler-1447,289.6434285,50.727016,890.296
Kepler-1150,296.7244553,49.5326846,358.518
Kepler-1598,288.469107,46.7836464,619.862
Kepler-1741,292.577073,39.120939,270.739
Kepler-1156,288.9240901,46.0575865,691.331
Kepler-767,291.5791562,38.0358066,2251.03
Kepler-622,284.4784454,40.9331723,284.761
Kepler-1366,285.0648845,41.5548464,465.826
Kepler-126,289.3473634,44.2084445,237.401
DS Tuc A,354.9154673,-69.196043,44.0622
HAT-P-31,271.5376722,26.4266061,344.05
Kepler-227,291.9342748,48.141676,1083.06
Kepler-340,295.933471,40.3005515,808.762
Kepler-1361,283.5653603,46.9042278,389.143
Kepler-987,289.4110582,46.1308443,914.126
TOI-332,348.0589516,-44.8764852,222.852
Kepler-553,298.5508922,48.3325405,728.525
Kepler-1383,297.9447714,42.1918449,1027.21
eps Ind A,330.8714021,-56.7969023,3.63857
Kepler-1545,298.8988313,47.4630696,729.964
HD 96700,166.9742616,-30.1751383,25.4111
Kepler-1457,283.7705481,42.027203,889.885
Kepler-681,289.3997364,51.2502428,686.923
Kepler-335,296.0642944,45.4285986,1278.97
Kepler-1144,290.0432936,47.2578857,1140.57
K2-172,335.3081368,-12.5569819,249.742
Kepler-1510,298.9591432,48.2578295,1696.25
HD 202696,319.2250346,27.2582799,188.546
Kepler-1540,283.3445555,41.2017544,244.96
Kepler-1327,289.0648073,50.4609183,678.069
Kepler-666,298.4568899,48.7915925,1508.71
Kepler-1407,283.9424274,41.4715535,1396.41
Kepler-631,296.885724,40.2281717,761.966
Kepler-1011,297.4015491,46.8239976,736.779
Kepler-1762,290.4931471,39.7855117,1663.74
Kepler-667,295.5549918,49.0172956,2302.45
Kepler-262,290.7287168,37.2526575,613.129
Kepler-755,296.8609348,41.0973178,399.034
Kepler-190,288.5839761,44.7337701,433.387
Kepler-1000,286.6854729,47.0981948,1115.62
Kepler-593,294.9513923,48.6511709,973.76
Kepler-1610,295.9049795,45.4054296,864.331
Kepler-696,293.4965906,41.1375635,1416.44
HD 66141,120.5662825,2.3350265,68.1509
Kepler-33,289.0775348,46.0051696,1209.16
HD 7924,20.4956562,76.7101475,16.9922
TOI-4336 A,206.1070129,-40.3373505,22.5455
K2-122,126.4762179,20.3593384,72.0444
TOI-2567,288.4656683,66.3479375,504.775
Kepler-1947,296.1040313,42.3425818,468.771
Kepler-228,296.2860853,48.2246328,1644.61
Kepler-127,285.1899439,46.0280596,352.794
Kepler-177,286.0471442,45.0532038,1435.44
Kepler-12,286.2434458,50.0403671,881.386
TOI-5688 A,266.9231001,47.7050486,226.318
Kepler-62,283.2125621,45.3496992,300.874
Kepler-1016,294.613689,45.9846265,1402.82
Kepler-1425,294.9510368,43.0124348,863.873
Kepler-1503,293.7271604,42.8067119,1225.57
Kepler-1672,297.9400971,40.2785566,391.181
Kepler-242,286.5656932,41.8084168,600.241
Kepler-600,283.8330588,41.9786358,619.723
Kepler-1616,286.5436691,45.3048716,1137.81
Kepler-11,297.1150949,41.9091092,646.346
61 Vir,199.596455,-18.3157745,8.50332
Kepler-342,292.6780488,46.7266813,781.611
Kepler-149,285.8537014,38.3840916,571.034
Kepler-435,292.2873012,43.1972542,1418.77
Kepler-471,299.0975167,43.4975851,1249.41
HD 48948,102.489811,60.3373133,16.9043
Kepler-896,282.4391402,43.7344291,2334.93
Kepler-410 A,283.1510448,45.1400838,147.527
Kepler-602,296.0318985,42.1418634,1159.31
HD 73534,129.8153421,12.9599703,83.3321
Kepler-806,296.0071956,44.8535698,361.896
Kepler-984,296.9588566,46.3940661,460.188
HD 190360,300.9092476,29.894541,16.0069
4 UMa,130.0528099,64.3280504,73.4603
Kepler-970,289.6252192,40.7087351,331.545
Kepler-1761,284.1329728,49.1426325,221.186
Kepler-1405,295.6848822,39.2561274,1530.3
Kepler-243,285.1104819,42.0339619,693.86
HD 142,1.5836771,-49.0753625,26.1853
Kepler-924,290.6685136,40.3977086,1053.04
Kepler-1050,282.9249847,48.6264015,490.488
Kepler-1382,295.3774182,39.0480365,738.261
Kepler-198,290.6731326,38.6910045,495.358
Kepler-1643,300.4310076,44.7510129,341.774
Kepler-1651,283.6282602,48.3908081,66.4074
Kepler-1422,293.8902214,48.3360926,2465.84
HR 858,42.9849779,-30.8140609,31.964
ups And,24.1983534,41.4038147,13.4054
Kepler-16,289.0758307,51.757229,75.0852
Kepler-301,283.982904,49.2329512,719.166
Kepler-946,300.9295551,44.028671,1137.29
KOI-4978,286.5907635,38.5582993,936.341
Kepler-339,293.351701,48.4445922,616.637
Kepler-216,293.7280695,46.1291139,1187.47
Kepler-129,285.3111845,47.8484775,408.845
Kepler-331,291.8343455,39.3073462,580.119
Kepler-579,295.0020771,39.9528613,530.765
Kepler-409,293.6792058,46.8527337,68.173
HD 134060,227.6847587,-61.4223747,24.0125
HD 44219,95.0599971,-10.7250799,52.9051
HD 63935,117.9246417,9.3852412,48.9739
Kepler-1122,288.2805801,46.3408747,1230.42
K2-220,12.7700071,9.5167694,233.514
Kepler-1509,283.7977792,46.9310139,2002.96
Kepler-361,296.8034146,46.7411011,930.32
Kepler-1311,289.6512597,43.8244445,866.331
K2-131,182.751404,-9.7652392,152.509
Kepler-1330,290.5767116,39.9568913,1720.48
Kepler-139,282.3919451,43.8894167,391.038
K2-22,169.4827046,2.6190363,243.836
K2-22,169.4827046,2.6190363,243.836
K2-22,169.4827046,2.6190363,243.836
K2-22,169.4827046,2.6190363,243.836
K2-22,169.4827046,2.6190363,243.836
K2-22,169.4827046,2.6190363,243.836
K2-22,169.4827046,2.6190363,243.836
K2-22,169.4827046,2.6190363,243.836
K2-22,169.4827046,2.6190363,243.836
Kepler-191,291.1833211,45.3230937,594.464
Kepler-1368,294.7669795,41.6446434,1635.82
HD 125271,216.6474037,-81.4542756,39.3466
Kepler-1860,294.3508497,50.0809627,438.703
Kepler-1806,287.5349528,49.8016283,978.066
Kepler-1821,294.5254573,49.872484,799.699
Kepler-1012,289.2962253,46.4579889,411.077
Kepler-923,294.1710831,40.0551372,1000.28
Kepler-183,293.5308112,39.3159329,1050.64
Kepler-55,285.1683291,44.0264898,578.796
Kepler-39,296.9603348,46.0342954,1057.41
TOI-2095,285.6365235,75.4185135,41.9176
Gl 49,15.6687321,62.3454386,9.8528
Kepler-732,283.7317274,45.9585288,174.826
Kepler-1186,288.4796333,47.1017438,1337.25
HAT-P-1,344.4453632,38.674919,158.979
Kepler-45,292.8729292,41.0641727,381.949
Kepler-1366,285.0648845,41.5548464,465.826
K2-181,127.5541103,10.9101444,360.911
Kepler-276,293.568197,39.0363123,1144.86
HD 134060,227.6847587,-61.4223747,24.0125
Kepler-52,286.7380152,49.9757383,321.542
HD 149806,249.2855187,0.2546794,20.2727
Kepler-962,295.3131906,46.2375024,411.486
Kepler-466,295.6486585,48.4955191,530.122
18 Del,314.6078375,10.8391378,76.222
WASP-21,347.4928024,18.3961597,258.426
TrES-2,286.8085258,49.3164211,215.32
HD 51608,103.7137102,-55.2600189,35.0553
Kepler-1415,285.1568015,47.8732512,1043.56
TOI-2570,87.1880397,32.0840435,361.857
Kepler-781,287.6535874,47.4147762,1064.47
Kepler-1609,290.1465356,39.6658026,1826.04
Kepler-227,291.9342748,48.141676,1083.06
Kepler-958,287.2566578,46.0667247,449.773
HD 20003,46.9090081,-72.3219221,41.8316
HD 45350,97.1902262,38.9627315,46.8733
Kepler-911,298.5891948,40.7506921,556.168
Kepler-1815,300.170472,43.9849048,1006.63
Kepler-578,288.7549882,39.563696,541.432
Kepler-1349,286.3385562,48.7442697,276.323
Kepler-446,282.2501047,44.921002,96.339
Kepler-183,293.5308112,39.3159329,1050.64
Kepler-548,299.9059167,45.4396103,751.776
Kepler-1966,292.4637788,41.2990438,484.601
K2-8,169.7935178,-0.2844389,403.513
Kepler-1143,287.302772,39.2896399,555.189
Kepler-1266,285.8693277,42.7279996,849.312
Kepler-480,294.4639165,49.7650473,847.508
Kepler-801,286.0751815,44.6646277,440.426
KOI-3503,293.1507654,41.7291532,887.064
Kepler-1690,288.1566649,41.8779417,703.789
Kepler-341,289.8615609,43.4727412,1047.03
Kepler-1192,282.1405603,43.8964934,1304.19
Kepler-1248,288.0592191,51.3544564,593.026
Kepler-1413,294.3416065,46.4987624,1167.49
ups And,24.1983534,41.4038147,13.4054
TOI-762 A,166.0747423,-47.8214964,98.4458
Kepler-1191,291.6577923,48.0092619,955.536
